color	color_map
orange	" #FFFFFF,#FFE5B4,#FFD099,#FFB347,#FFA500,#FF8C00,#E67300,#CC6600,#B34700,#993300 "
blue	" #FFFFFF,#B6E8FF,#8CDAFF,#45C4FF,#00AEFF,#007FBB,#005D88,#004768,#00344D,#00293D "
pink	" #FFFFFF,#F9D9E3,#F3B8CC,#ED97B5,#E8769E,#D95D88,#B4436D,#8E3055,#6A2240,#47152D "
red	" #FFFFFF,#FFE5E5,#FFB2B2,#FF8080,#FF4D4D,#FF1A1A,#E60000,#B30000,#800000,#4D0000 "
green	" #FFFFFF,#E6FFE6,#B3FFB3,#80FF80,#4DFF4D,#1AFF1A,#00CC00,#009900,#006600,#003300 "
yellow	" #FFFFFF,#FFFFE5,#FFFFB2,#FFFF80,#FFFF4D,#FFEB1A,#FFD700,#CCAC00,#998000,#665500 "
purple	" #FFFFFF,#F2E5FF,#D9B3FF,#BF80FF,#A64DFF,#8C1AFF,#7300E6,#5900B3,#3F0080,#26004D "
violet	" #FFFFFF,#F5E6FF,#E0B3FF,#CC80FF,#B84DFF,#A31AFF,#8000CC,#660099,#4D0066,#330033 "
grey	" #FFFFFF,#E6E6E6,#CCCCCC,#B3B3B3,#999999,#808080,#666666,#4D4D4D,#262626,#000000 "
